Const,Your Rating,Date Rated,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
tt0107688,10,2026-05-16,"The Nightmare Before Christmas","Tim Burton's the Nightmare Before Christmas",https://www.imdb.com/title/tt0107688,Movie,7.9,76,1993,"Animation, Musical, Family, Adventure, Fantasy",411481,"1993-10-29","Henry Selick"
tt1119646,7,2026-05-16,"The Hangover","The Hangover",https://www.imdb.com/title/tt1119646,Movie,7.7,100,2009,"Comedy",930264,"2009-06-05","Todd Phillips"
tt0441773,10,2026-05-16,"Kung Fu Panda","Kung Fu Panda",https://www.imdb.com/title/tt0441773,Movie,7.6,92,2008,"Animation, Comedy, Action, Adventure, Family, Fantasy",580118,"2008-06-06","Mark Osborne,John Stevenson"
tt0432283,8,2026-05-16,"Fantastic Mr. Fox","Fantastic Mr. Fox",https://www.imdb.com/title/tt0432283,Movie,7.9,87,2009,"Animation, Adventure, Comedy, Crime, Family, Drama",305270,"2009-11-25","Wes Anderson"
tt0398286,9,2026-05-16,"Tangled","Tangled",https://www.imdb.com/title/tt0398286,Movie,7.7,100,2010,"Animation, Musical, Family, Comedy, Fantasy, Romance, Adventure",545316,"2010-11-24","Nathan Greno,Byron Howard"
tt0245429,9,2026-05-16,"Spirited Away","Sen to Chihiro no kamikakushi",https://www.imdb.com/title/tt0245429,Movie,8.6,124,2001,"Animation, Family, Adventure, Fantasy",967334,"2003-03-28","Hayao Miyazaki"
tt8946378,8,2026-05-16,"Knives Out","Knives Out",https://www.imdb.com/title/tt8946378,Movie,7.9,130,2019,"Crime, Mystery, Thriller, Drama, Comedy",877750,"2019-11-27","Rian Johnson"
tt0416236,8,2026-05-16,"The Spiderwick Chronicles","The Spiderwick Chronicles",https://www.imdb.com/title/tt0416236,Movie,6.5,96,2008,"Family, Fantasy, Adventure, Action, Drama, Thriller",108978,"2008-02-14","Mark Waters"
tt37376089,6,2026-05-16,"Svadba","Svadba",https://www.imdb.com/title/tt37376089,Movie,7.5,95,2026,"Comedy",3887,"2026-01-22","Igor Seregi"
tt31193180,8,2026-05-16,"Sinners","Sinners",https://www.imdb.com/title/tt31193180,Movie,7.5,137,2025,"Drama, Thriller, Horror, Action, Music",478656,"2025-04-18","Ryan Coogler"
