Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated
1,tt1119646,2026-05-17,2026-05-17,,"The Hangover","The Hangover",https://www.imdb.com/title/tt1119646/,Movie,7.7,100,2009,"Comedy",930328,2009-06-05,"Todd Phillips",,
2,tt5052448,2026-05-17,2026-05-17,,"Get Out","Get Out",https://www.imdb.com/title/tt5052448/,Movie,7.8,104,2017,"Horror, Mystery, Thriller",817514,2017-02-24,"Jordan Peele",,
3,tt2872718,2026-05-17,2026-05-17,,"Nightcrawler","Nightcrawler",https://www.imdb.com/title/tt2872718/,Movie,7.8,117,2014,"Crime, Drama, Thriller",669641,2014-10-31,"Dan Gilroy",,
4,tt7144666,2026-05-17,2026-05-17,,"The Black Phone","The Black Phone",https://www.imdb.com/title/tt7144666/,Movie,6.9,103,2021,"Horror, Mystery, Thriller",264104,2022-06-24,"Scott Derrickson",,
5,tt0435761,2026-05-17,2026-05-17,,"Toy Story 3","Toy Story 3",https://www.imdb.com/title/tt0435761/,Movie,8.3,103,2010,"Animation, Adventure, Comedy, Family, Fantasy",969976,2010-06-18,"Lee Unkrich",,
6,tt1488589,2026-05-17,2026-05-17,,"Guillermo del Toro's Pinocchio","Guillermo del Toro's Pinocchio",https://www.imdb.com/title/tt1488589/,Movie,7.6,117,2022,"Animation, Adventure, Drama, Family, Fantasy, Musical",149655,2022-12-09,"Guillermo del Toro, Mark Gustafson",,
7,tt27613895,2026-05-17,2026-05-17,,"GOAT","Goat",https://www.imdb.com/title/tt27613895/,Movie,6.7,100,2026,"Animation, Action, Adventure, Comedy, Family, Sport",18764,2026-02-13,"Tyree Dillihay, Adam Rosette",,
8,tt0398286,2026-05-17,2026-05-17,,"Tangled","Tangled",https://www.imdb.com/title/tt0398286/,Movie,7.7,100,2010,"Animation, Adventure, Comedy, Family, Fantasy, Musical, Romance",545364,2010-11-24,"Nathan Greno, Byron Howard",,
9,tt1661199,2026-05-17,2026-05-17,,"Cinderella","Cinderella",https://www.imdb.com/title/tt1661199/,Movie,6.9,105,2015,"Adventure, Drama, Family, Fantasy, Romance",205144,2015-03-13,"Kenneth Branagh",,
10,tt0355295,2026-05-17,2026-05-17,,"The Brothers Grimm","The Brothers Grimm",https://www.imdb.com/title/tt0355295/,Movie,5.9,118,2005,"Action, Adventure, Comedy, Fantasy, Horror, Mystery, Thriller",132132,2005-08-26,"Terry Gilliam",,
